USPS,ST,NAME,ZCTA5,LAT,LON
New South Wales,NSW,Ardlethan,2665,-34.33458,146.84248
New South Wales,NSW,Beckom,2665,-34.28041,147.00069
New South Wales,NSW,Berry Jerry,2701,-34.71067,147.23856
New South Wales,NSW,Coolamon,2701,-34.79407,147.19863
New South Wales,NSW,Cowabbie,2652,-34.57763,146.97163
New South Wales,NSW,Ganmain,2702,-34.80861,147.00972
New South Wales,NSW,Marrar,2652,-34.84374,147.34018
New South Wales,NSW,Matong,2652,-34.77152,146.91205
New South Wales,NSW,Methul,2701,-34.61704,147.10569
New South Wales,NSW,Murrulebale,2652,-34.70496,147.4109
New South Wales,NSW,Rannock,2701,-34.60967,147.27486
New South Wales,NSW,Walleroobie,2665,-34.4952,147.02773
New South Wales,NSW,Billeroy,2829,-30.61437,148.45321
New South Wales,NSW,Black Hollow,2828,-31.11667,148.86499
New South Wales,NSW,Bourbah,2828,-31.24838,148.16063
New South Wales,NSW,Carinda,2831,-30.38246,147.61197
New South Wales,NSW,Combara,2829,-31.15389,148.30914
New South Wales,NSW,Conimbia,2829,-30.68181,148.02618
New South Wales,NSW,Coonamble,2829,-30.94718,148.30585
New South Wales,NSW,Gilgooma,2829,-30.69272,148.5753
New South Wales,NSW,Gulargambone,2828,-31.28182,148.48544
New South Wales,NSW,Gungalman,2829,-30.50274,147.9832
New South Wales,NSW,Macquarie Marshes,2831,-30.68879,147.62015
New South Wales,NSW,Magometon,2829,-31.02463,148.63298
New South Wales,NSW,Mount Tenandra,2828,-31.20809,148.81733
New South Wales,NSW,Nebea,2829,-30.89903,148.56079
New South Wales,NSW,Pine Grove (NSW),2829,-30.87857,148.68364
New South Wales,NSW,Quambone,2831,-30.90247,147.84833
New South Wales,NSW,Quanda,2828,-31.10752,148.72734
New South Wales,NSW,Teridgerie,2829,-30.8928,148.90081
New South Wales,NSW,Tooloon,2829,-31.00523,148.16608
New South Wales,NSW,Urawilkie,2829,-30.68832,148.71096
New South Wales,NSW,Wingadee,2829,-30.52058,148.27042
New South Wales,NSW,Billimari,2804,-33.67577,148.61579
New South Wales,NSW,Bumbaldry,2794,-33.87059,148.41252
New South Wales,NSW,Canowindra,2804,-33.53379,148.64101
New South Wales,NSW,Cowra,2794,-33.85029,148.63514
New South Wales,NSW,Darbys Falls,2793,-33.90572,148.84997
New South Wales,NSW,Gooloogong,2805,-33.66383,148.44137
New South Wales,NSW,Koorawatha,2807,-34.01181,148.60019
New South Wales,NSW,Mandurama,2792,-33.65929,148.99372
New South Wales,NSW,Neville,2799,-33.74508,149.2033
New South Wales,NSW,Roseberg,2793,-33.86214,149.05373
New South Wales,NSW,Wattamondara,2794,-33.94385,148.58409
New South Wales,NSW,Woodstock (Cowra - NSW),2793,-33.77408,148.87182
New South Wales,NSW,Woodstock (Cowra - NSW),2360,-29.73915,151.35577
New South Wales,NSW,Woodstock (Cowra - NSW),2538,-35.35239,150.40655
New South Wales,NSW,Wyangala,2808,-33.98038,148.94794
New South Wales,NSW,Auburn (NSW),2144,-33.85787,151.02827
New South Wales,NSW,Berala,2141,-33.87461,151.03345
New South Wales,NSW,Chester Hill,2162,-33.88004,150.99733
New South Wales,NSW,Fairfield (NSW),2165,-33.86904,150.95102
New South Wales,NSW,Girraween (NSW),2145,-33.80002,150.94399
New South Wales,NSW,Granville (NSW),2142,-33.83592,151.00745
New South Wales,NSW,Greystanes,2145,-33.82378,150.93855
New South Wales,NSW,Guildford (NSW),2161,-33.85861,150.98884
New South Wales,NSW,Guildford West,2161,-33.84826,150.96403
New South Wales,NSW,Holroyd,2142,-33.83016,150.99863
New South Wales,NSW,Lidcombe,2141,-33.86491,151.04789
New South Wales,NSW,Mays Hill,2145,-33.8212,150.98881
New South Wales,NSW,Merrylands,2160,-33.83511,150.98511
New South Wales,NSW,Merrylands West,2160,-33.83772,150.96755
New South Wales,NSW,Pemulwuy,2145,-33.82108,150.92398
New South Wales,NSW,Pendle Hill,2145,-33.80402,150.95535
New South Wales,NSW,Regents Park (NSW),2143,-33.88245,151.02748
New South Wales,NSW,Smithfield (NSW),2164,-33.84836,150.93847
New South Wales,NSW,South Granville,2142,-33.85869,151.01088
New South Wales,NSW,South Wentworthville,2145,-33.82166,150.97206
New South Wales,NSW,Toongabbie (NSW),2146,-33.79196,150.9468
New South Wales,NSW,Wentworthville,2145,-33.80641,150.96973
New South Wales,NSW,Westmead,2145,-33.80918,150.98696
New South Wales,NSW,Woodpark,2164,-33.84137,150.96126
New South Wales,NSW,Alison (Dungog - NSW),2420,-32.43396,151.77304
New South Wales,NSW,Alison (Dungog - NSW),2259,-33.26943,151.39805
New South Wales,NSW,Allynbrook,2311,-32.34998,151.55131
New South Wales,NSW,Bandon Grove,2420,-32.27578,151.68893
New South Wales,NSW,Bendolba,2420,-32.34933,151.73101
New South Wales,NSW,Bingleburra,2311,-32.37624,151.61594
New South Wales,NSW,Brookfield (NSW),2420,-32.51276,151.75466
New South Wales,NSW,Cambra,2420,-32.44122,151.86997
New South Wales,NSW,Carrabolla,2311,-32.17309,151.39358
New South Wales,NSW,Chichester (NSW),2420,-32.16565,151.63199
New South Wales,NSW,Clarence Town,2321,-32.59227,151.77888
New South Wales,NSW,Dungog,2420,-32.40248,151.75277
New South Wales,NSW,East Gresford,2311,-32.41426,151.56219
New South Wales,NSW,Eccleston,2311,-32.25609,151.48406
New South Wales,NSW,Fishers Hill,2421,-32.48988,151.54106
New South Wales,NSW,Flat Tops,2420,-32.44722,151.8098
New South Wales,NSW,Fosterton,2420,-32.34228,151.76837
New South Wales,NSW,Glen Martin,2321,-32.53427,151.84366
New South Wales,NSW,Glen Oak,2320,-32.60263,151.71469
New South Wales,NSW,Glen William,2321,-32.50955,151.7958
New South Wales,NSW,Gresford,2311,-32.41512,151.49665
New South Wales,NSW,Halton,2311,-32.28988,151.53984
New South Wales,NSW,Hanleys Creek,2420,-32.41857,151.68529
New South Wales,NSW,Hilldale,2420,-32.49554,151.63735
New South Wales,NSW,Lewinsbrook,2311,-32.43604,151.59875
New South Wales,NSW,Lostock,2311,-32.32586,151.43383
New South Wales,NSW,Main Creek,2420,-32.30582,151.79606
New South Wales,NSW,Marshdale,2420,-32.42739,151.80513
New South Wales,NSW,Martins Creek,2420,-32.55965,151.64327
New South Wales,NSW,Mount Rivers,2311,-32.36684,151.47488
New South Wales,NSW,Munni,2420,-32.30774,151.67512
New South Wales,NSW,Paterson (NSW),2421,-32.58422,151.59831
New South Wales,NSW,Salisbury (NSW),2420,-32.16255,151.53747
New South Wales,NSW,Stroud Hill,2420,-32.37911,151.80912
New South Wales,NSW,Sugarloaf (NSW),2420,-32.38051,151.69161
New South Wales,NSW,Summer Hill (Dungog - NSW),2130,-33.89348,151.1372
New South Wales,NSW,Summer Hill (Dungog - NSW),2421,-32.48778,151.49407
New South Wales,NSW,Tabbil Creek,2420,-32.41772,151.73296
New South Wales,NSW,Torryburn (Dungog - NSW),2421,-32.47376,151.58218
New South Wales,NSW,Torryburn (Dungog - NSW),2358,-30.43786,151.19986
New South Wales,NSW,Underbank,2420,-32.28519,151.60164
New South Wales,NSW,Upper Allyn,2311,-32.1398,151.46591
New South Wales,NSW,Vacy,2421,-32.53341,151.55592
New South Wales,NSW,Wallaringa,2420,-32.45469,151.67595
New South Wales,NSW,Wallarobba,2420,-32.50607,151.70471
New South Wales,NSW,Webbers Creek,2421,-32.58492,151.52196
New South Wales,NSW,Wirragulla,2420,-32.45915,151.73049
New South Wales,NSW,Barratta (NSW),2710,-35.20021,144.5329
New South Wales,NSW,Birganbigil,2710,-35.51821,145.18278
New South Wales,NSW,Blighty,2713,-35.59597,145.30674
New South Wales,NSW,Booroorban,2710,-34.85605,144.73698
New South Wales,NSW,Conargo,2710,-35.24861,145.17088
New South Wales,NSW,Coree,2710,-35.29743,145.49809
New South Wales,NSW,Deniliquin,2710,-35.54781,144.88599
New South Wales,NSW,Hartwood,2710,-35.33948,145.34204
New South Wales,NSW,Lindifferon,2710,-35.39586,145.17515
New South Wales,NSW,Logie Brae,2713,-35.46619,145.50682
New South Wales,NSW,Mabins Well,2716,-34.89592,145.51933
New South Wales,NSW,Mayrung,2710,-35.46868,145.31627
New South Wales,NSW,Moonbria,2710,-35.11503,145.44116
New South Wales,NSW,Morago,2710,-35.35325,144.7071
New South Wales,NSW,Moulamein,2733,-35.00133,144.13333
New South Wales,NSW,Myrtle Park,2713,-35.54843,145.44411
New South Wales,NSW,Pine Lodge (NSW),2714,-35.66524,145.42741
New South Wales,NSW,Pretty Pine,2710,-35.38482,144.85749
New South Wales,NSW,Steam Plains,2710,-34.96491,145.28813
New South Wales,NSW,Stud Park,2710,-35.37895,144.94721
New South Wales,NSW,Tuppal,2714,-35.6874,145.29767
New South Wales,NSW,Wandook,2710,-35.41962,145.02721
New South Wales,NSW,Wanganella,2710,-35.11424,144.7099
New South Wales,NSW,Warragoon,2710,-35.61202,145.13393
New South Wales,NSW,Akolele,2546,-36.34959,150.0749
New South Wales,NSW,Batehaven,2536,-35.7355,150.20024
New South Wales,NSW,Batemans Bay,2536,-35.70864,150.16147
New South Wales,NSW,Belowra,2545,-36.10093,149.68513
New South Wales,NSW,Benandarah,2536,-35.64825,150.2155
New South Wales,NSW,Bergalia,2537,-35.98126,150.08965
New South Wales,NSW,Bimbimbie,2536,-35.8386,150.11675
New South Wales,NSW,Bingie,2537,-36.02063,150.14516
New South Wales,NSW,Bodalla,2545,-36.09698,149.99067
New South Wales,NSW,Broulee,2537,-35.85605,150.15592
New South Wales,NSW,Buckenbowra,2536,-35.679,149.98317
New South Wales,NSW,Cadgee (NSW),2545,-36.15819,149.90644
New South Wales,NSW,Catalina,2536,-35.72985,150.18541
New South Wales,NSW,Central Tilba,2546,-36.30452,150.07709
New South Wales,NSW,Coila,2537,-36.01026,150.09423
New South Wales,NSW,Congo,2537,-35.95653,150.13504
New South Wales,NSW,Corunna,2546,-36.27902,150.1075
New South Wales,NSW,Currowan,2536,-35.57128,150.09759
New South Wales,NSW,Dalmeny,2546,-36.1642,150.11306
New South Wales,NSW,Denhams Beach,2536,-35.75131,150.21219
New South Wales,NSW,Deua River Valley,2537,-35.78602,149.91124
New South Wales,NSW,Dignams Creek,2546,-36.31507,149.97006
New South Wales,NSW,East Lynne,2536,-35.58869,150.27326
New South Wales,NSW,Eurobodalla,2545,-36.16624,149.95402
New South Wales,NSW,Guerilla Bay,2536,-35.82989,150.22013
New South Wales,NSW,Jeremadra,2536,-35.81351,150.13903
New South Wales,NSW,Kianga (NSW),2546,-36.19002,150.07702
New South Wales,NSW,Kiora,2537,-35.90517,150.01513
New South Wales,NSW,Lilli Pilli (Eurobodalla - NSW),2536,-35.77218,150.22262
New South Wales,NSW,Lilli Pilli (Eurobodalla - NSW),2229,-34.06716,151.11552
New South Wales,NSW,Long Beach,2536,-35.69311,150.22744
New South Wales,NSW,Maloneys Beach,2536,-35.70162,150.25412
New South Wales,NSW,Malua Bay,2536,-35.78925,150.21185
New South Wales,NSW,Meringo,2537,-35.9818,150.14054
New South Wales,NSW,Merricumbene,2622,-35.73096,149.87133
New South Wales,NSW,Mogendoura,2537,-35.85705,150.03581
New South Wales,NSW,Mogo (Eurobodalla - NSW),2536,-35.8033,150.11156
New South Wales,NSW,Mogo (Eurobodalla - NSW),2850,-32.25628,150.02134
New South Wales,NSW,Moruya,2537,-35.90796,150.09408
New South Wales,NSW,Moruya Heads,2537,-35.92869,150.13737
New South Wales,NSW,Mossy Point,2537,-35.83235,150.17885
New South Wales,NSW,Mystery Bay,2546,-36.31121,150.12675
New South Wales,NSW,Narooma,2546,-36.24236,150.09467
New South Wales,NSW,Nelligen,2536,-35.6736,150.11473
New South Wales,NSW,Neringla,2622,-35.75771,149.7879
New South Wales,NSW,Nerrigundah,2545,-36.12737,149.84866
New South Wales,NSW,North Batemans Bay,2536,-35.6892,150.19267
New South Wales,NSW,North Narooma,2546,-36.20966,150.10486
New South Wales,NSW,Potato Point,2545,-36.08119,150.1218
New South Wales,NSW,Rosedale (NSW),2536,-35.81541,150.21807
New South Wales,NSW,Runnyford,2536,-35.72314,150.11308
New South Wales,NSW,South Durras,2536,-35.65651,150.28601
New South Wales,NSW,Sunshine Bay,2536,-35.74498,150.20907
New South Wales,NSW,Surf Beach (NSW),2536,-35.76253,150.2036
New South Wales,NSW,Surfside,2536,-35.6951,150.19908
New South Wales,NSW,Tilba Tilba,2546,-36.33499,150.04049
New South Wales,NSW,Tinpot,2546,-36.24472,149.89143
New South Wales,NSW,Tomakin,2537,-35.82282,150.18997
New South Wales,NSW,Turlinjah,2537,-36.02915,150.07533
New South Wales,NSW,Tuross Head,2537,-36.03509,150.11673
New South Wales,NSW,Wamban,2537,-35.96958,149.98296
New South Wales,NSW,Woodlands (Eurobodalla - NSW),2536,-35.80101,150.18354
New South Wales,NSW,Woodlands (Eurobodalla - NSW),2575,-34.40821,150.39954
New South Wales,NSW,Abbotsbury,2176,-33.86513,150.85951
New South Wales,NSW,Bonnyrigg,2177,-33.89333,150.88877
New South Wales,NSW,Bonnyrigg Heights,2177,-33.89103,150.87006
New South Wales,NSW,Bossley Park,2176,-33.86202,150.88392
New South Wales,NSW,Cabramatta,2166,-33.89828,150.93609
New South Wales,NSW,Cabramatta West,2166,-33.89292,150.91194
New South Wales,NSW,Canley Heights,2166,-33.88198,150.9227
New South Wales,NSW,Canley Vale,2166,-33.88495,150.95058
New South Wales,NSW,Carramar (NSW),2163,-33.88405,150.96381
New South Wales,NSW,Cecil Park,2178,-33.87579,150.83267
New South Wales,NSW,Edensor Park,2176,-33.87884,150.87759
New South Wales,NSW,Fairfield (NSW),2165,-33.86904,150.95102
New South Wales,NSW,Fairfield East,2165,-33.87535,150.97324
New South Wales,NSW,Fairfield Heights,2165,-33.86713,150.94148
New South Wales,NSW,Fairfield West,2165,-33.87024,150.92391
New South Wales,NSW,Greenfield Park,2176,-33.87537,150.89276
New South Wales,NSW,Horsley Park,2175,-33.8426,150.84816
New South Wales,NSW,Lansvale,2166,-33.89877,150.96071
New South Wales,NSW,Mount Pritchard,2170,-33.90435,150.90114
New South Wales,NSW,Old Guildford,2161,-33.86384,150.98472
New South Wales,NSW,Prairiewood,2176,-33.86527,150.90773
New South Wales,NSW,Smithfield (NSW),2164,-33.84836,150.93847
New South Wales,NSW,St Johns Park,2176,-33.88259,150.90215
New South Wales,NSW,Villawood,2163,-33.88432,150.98067
New South Wales,NSW,Wakeley,2176,-33.87381,150.90868
New South Wales,NSW,Wetherill Park,2164,-33.84214,150.89843
New South Wales,NSW,Yennora,2161,-33.86167,150.96783
New South Wales,NSW,Balldale,2646,-35.80368,146.52162
New South Wales,NSW,Boree Creek,2652,-35.06921,146.52341
New South Wales,NSW,Collendina,2646,-35.97143,146.22576
New South Wales,NSW,Coreen,2646,-35.74586,146.31434
New South Wales,NSW,Corowa,2646,-35.99338,146.36285
New South Wales,NSW,Daysdale,2646,-35.59552,146.3712
New South Wales,NSW,Hopefield,2646,-35.91697,146.46066
New South Wales,NSW,Howlong,2643,-35.95995,146.61425
New South Wales,NSW,Lowesdale,2646,-35.84545,146.33217
New South Wales,NSW,Morundah,2700,-34.99595,146.22667
New South Wales,NSW,Mulwala,2647,-35.91969,146.05748
New South Wales,NSW,Oaklands,2646,-35.49331,146.15109
New South Wales,NSW,Rand,2642,-35.57023,146.52287
New South Wales,NSW,Redlands,2646,-35.92089,146.34002
New South Wales,NSW,Rennie,2646,-35.8177,146.12748
New South Wales,NSW,Ringwood (NSW),2646,-35.87407,146.23552
New South Wales,NSW,Sanger,2646,-35.67286,146.13835
New South Wales,NSW,Savernake,2646,-35.73554,146.02409
New South Wales,NSW,Urana,2645,-35.35011,146.21288
New South Wales,NSW,Bedgerabong,2871,-33.33169,147.7056
New South Wales,NSW,Cookamidgera,2870,-33.2371,148.30484
New South Wales,NSW,Corinella (NSW),2871,-33.54885,147.55321
New South Wales,NSW,Eugowra,2806,-33.41999,148.35218
New South Wales,NSW,Forbes (NSW),2871,-33.38993,148.02223
New South Wales,NSW,Garema,2871,-33.57931,147.9136
New South Wales,NSW,Gunning Gap,2871,-33.2645,147.73691
New South Wales,NSW,Jemalong,2871,-33.44214,147.7215
New South Wales,NSW,Mandagery,2870,-33.25317,148.46366
New South Wales,NSW,Mulguthrie,2877,-33.17607,147.37729
New South Wales,NSW,Mulyandry,2871,-33.56448,148.16586
New South Wales,NSW,Ooma,2871,-33.63854,148.04965
New South Wales,NSW,Ootha,2875,-33.12461,147.4652
New South Wales,NSW,Paytens Bridge,2871,-33.56011,148.31784
New South Wales,NSW,Warroo (NSW),2871,-33.32038,147.53624
New South Wales,NSW,Wirrinya,2871,-33.60605,147.72363
New South Wales,NSW,Yarrabandai,2875,-33.1449,147.57276
New South Wales,NSW,Allawah,2218,-33.97295,151.11424
New South Wales,NSW,Beverley Park,2217,-33.97729,151.13054
New South Wales,NSW,Beverly Hills,2209,-33.94831,151.07815
New South Wales,NSW,Blakehurst,2221,-33.99061,151.10947
New South Wales,NSW,Carlton (NSW),2218,-33.97075,151.1214
New South Wales,NSW,Carss Park,2221,-33.98679,151.11717
New South Wales,NSW,Connells Point,2221,-33.98536,151.09431
New South Wales,NSW,Hurstville,2220,-33.96268,151.1006
New South Wales,NSW,Hurstville Grove,2220,-33.97709,151.09318
New South Wales,NSW,Kingsgrove,2208,-33.93971,151.09956
New South Wales,NSW,Kogarah,2217,-33.96814,151.13537
New South Wales,NSW,Kogarah Bay,2217,-33.9826,151.12424
New South Wales,NSW,Kyle Bay,2221,-33.98937,151.10096
New South Wales,NSW,Lugarno,2210,-33.98105,151.04426
New South Wales,NSW,Mortdale,2223,-33.96908,151.07198
New South Wales,NSW,Narwee,2209,-33.9472,151.06843
New South Wales,NSW,Oatley,2223,-33.98228,151.07156
New South Wales,NSW,Peakhurst,2210,-33.96181,151.05799
New South Wales,NSW,Peakhurst Heights,2210,-33.97527,151.05493
New South Wales,NSW,Penshurst (NSW),2222,-33.96482,151.08475
New South Wales,NSW,Ramsgate,2217,-33.98259,151.13977
New South Wales,NSW,Riverwood,2210,-33.9451,151.05302
New South Wales,NSW,Sans Souci,2219,-33.99452,151.13524
New South Wales,NSW,South Hurstville,2221,-33.97767,151.10598
New South Wales,NSW,Armatree,2828,-31.45443,148.49814
New South Wales,NSW,Balladoran,2822,-31.88145,148.61751
New South Wales,NSW,Bearbong,2827,-31.66393,148.88117
New South Wales,NSW,Biddon,2827,-31.55309,148.79048
New South Wales,NSW,Breelong,2827,-31.80649,148.7931
New South Wales,NSW,Collie (NSW),2827,-31.69326,148.28925
New South Wales,NSW,Curban,2827,-31.52839,148.57503
New South Wales,NSW,Gilgandra,2827,-31.71245,148.61837
New South Wales,NSW,Kickabil,2830,-31.90389,148.40169
New South Wales,NSW,Mendooran,2842,-31.78699,149.0777
New South Wales,NSW,Merrigal,2827,-31.48831,148.26062
New South Wales,NSW,Tonderburine,2817,-31.33092,148.77543
New South Wales,NSW,Tooraweenah,2817,-31.52499,148.93217
New South Wales,NSW,Warrumbungle,2828,-31.31703,148.97867
New South Wales,NSW,Bald Nob,2370,-29.67343,151.99225
New South Wales,NSW,Ben Lomond (NSW),2365,-30.00596,151.66567
New South Wales,NSW,Capoompeta,2371,-29.38817,152.04459
New South Wales,NSW,Deepwater (NSW),2371,-29.44428,151.95257
New South Wales,NSW,Diehard,2370,-29.70092,152.0916
New South Wales,NSW,Dundee,2370,-29.57044,151.91565
New South Wales,NSW,Emmaville,2371,-29.37325,151.5496
New South Wales,NSW,Furracabad,2370,-29.82256,151.65873
New South Wales,NSW,Glen Elgin,2370,-29.57595,152.12034
New South Wales,NSW,Glen Innes,2370,-29.71897,151.69467
New South Wales,NSW,Glencoe (NSW),2365,-29.93231,151.71024
New South Wales,NSW,Kingsgate,2370,-29.79714,152.08819
New South Wales,NSW,Kookabookra,2370,-30.02076,152.03276
New South Wales,NSW,Lambs Valley (Glen Innes Severn - NSW),2370,-29.81979,151.7928
New South Wales,NSW,Lambs Valley (Glen Innes Severn - NSW),2335,-32.56809,151.46439
New South Wales,NSW,Matheson,2370,-29.76526,151.56542
New South Wales,NSW,Maybole,2365,-29.90457,151.56739
New South Wales,NSW,Moggs Swamp,2370,-29.93077,152.05049
New South Wales,NSW,Mount Mitchell,2365,-29.94191,151.83376
New South Wales,NSW,Newton Boyd,2370,-29.7004,152.34086
New South Wales,NSW,Pinkett,2370,-29.89269,151.95934
New South Wales,NSW,Rangers Valley,2370,-29.55765,151.76302
New South Wales,NSW,Red Range,2370,-29.79528,151.92852
New South Wales,NSW,Reddestone,2370,-29.58149,151.66835
New South Wales,NSW,Shannon Vale,2370,-29.69512,151.86737
New South Wales,NSW,Stonehenge (NSW),2370,-29.82985,151.72488
New South Wales,NSW,Torrington (NSW),2371,-29.28926,151.67634
New South Wales,NSW,Wellingrove,2370,-29.57228,151.49017
New South Wales,NSW,Wellington Vale,2371,-29.42289,151.72708
New South Wales,NSW,Yarrowford,2370,-29.6385,151.75159
New South Wales,NSW,Baw Baw (NSW),2580,-34.71011,149.64544
New South Wales,NSW,Boxers Creek,2580,-34.77114,149.83899
New South Wales,NSW,Brayton,2579,-34.63064,150.01339
New South Wales,NSW,Brisbane Grove,2580,-34.7962,149.72127
New South Wales,NSW,Bungonia,2580,-34.87851,149.96043
New South Wales,NSW,Carrick (NSW),2580,-34.69751,149.89794
New South Wales,NSW,Currawang,2580,-34.97808,149.53976
New South Wales,NSW,Goulburn,2580,-34.7447,149.72375
New South Wales,NSW,Greenwich Park,2580,-34.60049,149.9162
New South Wales,NSW,Gundary,2580,-34.84009,149.78664
New South Wales,NSW,Kingsdale,2580,-34.67093,149.68337
New South Wales,NSW,Lake Bathurst,2580,-35.01691,149.68045
New South Wales,NSW,Lower Boro,2580,-35.13713,149.77522
New South Wales,NSW,Marulan,2579,-34.7189,149.98914
New South Wales,NSW,Middle Arm,2580,-34.59754,149.72774
New South Wales,NSW,Mummel,2580,-34.66012,149.56271
New South Wales,NSW,Oallen,2622,-35.15589,149.95847
New South Wales,NSW,Parkesbourne,2580,-34.75893,149.54743
New South Wales,NSW,Pomeroy,2580,-34.69206,149.5204
New South Wales,NSW,Quialigo,2580,-34.9334,149.77255
New South Wales,NSW,Run-o-Waters,2580,-34.76877,149.6711
New South Wales,NSW,Tallong,2579,-34.75257,150.18629
New South Wales,NSW,Tarago,2580,-35.10715,149.58884
New South Wales,NSW,Tarlo,2580,-34.6481,149.8216
New South Wales,NSW,Tirrannaville,2580,-34.87497,149.67465
New South Wales,NSW,Towrang,2580,-34.6946,149.83055
New South Wales,NSW,Wayo,2580,-34.62658,149.61638
New South Wales,NSW,Windellama,2580,-35.02293,149.93061
New South Wales,NSW,Wollogorang,2581,-34.85675,149.52051
New South Wales,NSW,Woodhouselee,2580,-34.57313,149.63517
New South Wales,NSW,Yarra,2580,-34.81885,149.60853
New South Wales,NSW,Alma Park,2659,-35.59954,146.79644
New South Wales,NSW,Balldale,2646,-35.80368,146.52162
New South Wales,NSW,Bowna,2644,-35.9807,147.15105
New South Wales,NSW,Brocklesby,2642,-35.81351,146.66071
New South Wales,NSW,Bungowannah,2640,-36.00006,146.76758
New South Wales,NSW,Burrumbuttock,2642,-35.82828,146.79307
New South Wales,NSW,Carabost,2650,-35.61091,147.72245
New South Wales,NSW,Cookardinia,2650,-35.56422,147.25084
New South Wales,NSW,Coppabella (NSW),2644,-35.75109,147.75088
New South Wales,NSW,Culcairn,2660,-35.68554,147.00136
New South Wales,NSW,Gerogery,2642,-35.84121,146.99395
New South Wales,NSW,Glenellen,2642,-35.88636,146.90536
New South Wales,NSW,Goombargana,2646,-35.74229,146.5755
New South Wales,NSW,Henty (NSW),2658,-35.52369,147.03511
New South Wales,NSW,Holbrook,2644,-35.68363,147.29047
New South Wales,NSW,Humula,2652,-35.48608,147.74677
New South Wales,NSW,Jindera,2642,-35.95937,146.88177
New South Wales,NSW,Jingellic,2642,-35.89727,147.68984
New South Wales,NSW,Lankeys Creek,2644,-35.82913,147.62337
New South Wales,NSW,Little Billabong,2644,-35.621,147.51642
New South Wales,NSW,Moorwatha,2640,-35.92288,146.72846
New South Wales,NSW,Morven (Greater Hume Shire - NSW),2370,-29.41917,152.164
New South Wales,NSW,Morven (Greater Hume Shire - NSW),2660,-35.64654,147.15648
New South Wales,NSW,Mountain Creek (NSW),2644,-35.77601,147.14723
New South Wales,NSW,Mullengandra,2644,-35.89571,147.1813
New South Wales,NSW,Rand,2642,-35.57023,146.52287
New South Wales,NSW,Rosewood (Snowy Valleys - NSW),2652,-35.65013,147.8596
New South Wales,NSW,Rosewood (Snowy Valleys - NSW),2446,-31.45762,152.68493
New South Wales,NSW,Table Top,2640,-35.93717,147.02997
New South Wales,NSW,Talmalmo,2640,-35.95778,147.45616
New South Wales,NSW,Walbundrie,2642,-35.6382,146.71116
New South Wales,NSW,Walla Walla,2659,-35.74178,146.87004
New South Wales,NSW,Wantagong,2644,-35.79845,147.4841
New South Wales,NSW,Woomargama,2644,-35.86984,147.27651
New South Wales,NSW,Wymah,2640,-35.98735,147.25224
New South Wales,NSW,Yarara,2644,-35.71475,147.64955
New South Wales,NSW,Beelbangera,2680,-34.2383,146.10727
New South Wales,NSW,Benerembah,2680,-34.39946,145.82854
New South Wales,NSW,Bilbul,2680,-34.28397,146.15673
New South Wales,NSW,Griffith (NSW),2680,-34.27539,146.04315
New South Wales,NSW,Hanwood,2680,-34.35915,146.03358
New South Wales,NSW,Kooba,2680,-34.42599,146.10051
New South Wales,NSW,Lake Wyangan,2680,-34.22637,146.02173
New South Wales,NSW,Myall Park (NSW),2681,-34.0994,146.14714
New South Wales,NSW,Nericon,2680,-34.18277,146.03392
New South Wales,NSW,Tabbita,2652,-34.09674,145.83302
New South Wales,NSW,Tharbogang,2680,-34.26838,145.93796
New South Wales,NSW,Warburn,2680,-34.17355,145.91685
New South Wales,NSW,Warrawidgee,2680,-34.30721,145.73982
New South Wales,NSW,Whitton,2705,-34.53478,146.12753
New South Wales,NSW,Widgelli,2680,-34.36002,146.1486
New South Wales,NSW,Willbriggie,2680,-34.46214,145.99583
New South Wales,NSW,Yenda (NSW),2681,-34.22789,146.21839
New South Wales,NSW,Yoogali,2680,-34.31473,146.09874
New South Wales,NSW,Adjungbilly,2727,-35.03154,148.42182
New South Wales,NSW,Burra Creek,2722,-34.89524,147.99235
New South Wales,NSW,Coolac,2727,-34.89728,148.20172
New South Wales,NSW,Cootamundra,2590,-34.63486,148.03302
New South Wales,NSW,Darbalara,2722,-35.05454,148.25872
New South Wales,NSW,Gobarralong,2727,-34.95651,148.36278
New South Wales,NSW,Gundagai,2722,-35.04477,148.09558
New South Wales,NSW,Jones Creek,2722,-35.00757,148.03731
New South Wales,NSW,Milvale,2594,-34.33051,147.90669
New South Wales,NSW,Mount Adrah,2729,-35.22048,147.90885
New South Wales,NSW,Mundarlo,2729,-35.13887,147.80232
New South Wales,NSW,Muttama,2722,-34.79909,148.13589
New South Wales,NSW,Nangus,2722,-35.01102,147.94615
New South Wales,NSW,South Gundagai,2722,-35.10481,148.12428
New South Wales,NSW,Stockinbingal,2725,-34.44983,147.87135
New South Wales,NSW,Tumblong,2729,-35.14315,147.98166
New South Wales,NSW,Wallendbeen,2588,-34.50396,148.12132
New South Wales,NSW,Blue Vale,2380,-30.82759,150.22046
New South Wales,NSW,Boggabri,2382,-30.70711,150.03657
New South Wales,NSW,Breeza,2381,-31.26607,150.44856
New South Wales,NSW,Caroona,2343,-31.38464,150.41857
New South Wales,NSW,Carroll,2340,-31.0037,150.45052
New South Wales,NSW,Curlewis (NSW),2381,-31.19235,150.25962
New South Wales,NSW,Emerald Hill,2380,-30.86736,150.057
